OBJECTID,FID_GLNPO2,Date,STATION,LATITUDE,LONGITUDE,Avg_TP,Avg_Depth,Lat,Long,SMPL_Depth,TP,FID_EFDC,GRIDNO,IJ_VALUE,I_Value,J_Value,BedElev,I_Parent,J_Parent,Area,Mask,WSElev,ZRough,Sim_Result,Sim_Dir,Map_Value,Dry_Flag,Grid_Label,I_J_index,sig_thick,I_index,J_Index,I_J_inde_1,Water_Dept,Number_Lay,Sig_layer-K
1,29,8/14/2018,ON69B,0,0,0,0,43.318333,-79.000352,11.8,3.699,2272,4.79E+03,"(75,71)",75,71,-1.65E+01,0,0,0.00E+00,0,1.92E-01,1.00E-03,6.092903,,6.092903,0,,75-71,1.6675,75,71,75-71,16.675,10,8
2,35,8/15/2018,ON65B,0,0,0,0,43.308,-76.95105,20.8,2.708,11634,3.36E+03,"(208,62)",208,62,-2.87E+01,0,0,0.00E+00,0,1.92E-01,1.00E-03,5.667582,,5.667582,0,,208-62,2.8862,208,62,208-62,28.862,10,8
3,30,8/14/2018,ON67B,0,0,0,0,43.375052,-78.730122,49.8,2.551,3604,4.81E+03,"(97,71)",97,71,-6.01E+01,0,0,0.00E+00,0,1.92E-01,1.00E-03,5.644989,,5.644989,0,,97-71,6.0335,97,71,97-71,60.335,10,9
4,9,4/7/2013,ONFO,43.4164,-77.917383,4.9745,51.325,0,0,0,0,6918,5.23E+03,"(152,73)",152,73,-9.08E+01,0,0,0.00E+00,0,1.92E-01,1.00E-03,4.821283,,4.821283,0,,152-73,9.1009,152,73,152-73,91.009,10,1
5,18,8/14/2013,ONFO,43.416433,-77.916517,3.6668,47.04,0,0,0,0,6918,5.23E+03,"(152,73)",152,73,-9.08E+01,0,0,0.00E+00,0,1.92E-01,1.00E-03,4.821283,,4.821283,0,,152-73,9.1009,152,73,152-73,91.009,10,1
6,8,4/5/2013,ON55M,43.4431,-77.4381,4.5517,63.26,0,0,0,0,9416,6.23E+03,"(180,78)",180,78,-1.95E+02,0,0,0.00E+00,0,1.92E-01,1.00E-03,4.834577,,4.834577,0,,180-78,19.53,180,78,180-78,195.3,10,1
7,17,8/13/2013,ON55M,43.443217,-77.4384,4.6007,63.22,0,0,0,0,9416,6.23E+03,"(180,78)",180,78,-1.95E+02,0,0,0.00E+00,0,1.92E-01,1.00E-03,4.834577,,4.834577,0,,180-78,19.53,180,78,180-78,195.3,10,1
8,37,8/16/2018,ON55M,0,0,0,0,43.443617,-77.438335,59.03636364,3.980818182,9416,6.23E+03,"(180,78)",180,78,-1.95E+02,0,0,0.00E+00,0,1.92E-01,1.00E-03,4.834577,,4.834577,0,,180-78,19.53,180,78,180-78,195.3,10,4
9,26,4/11/2018,ON55M,0,0,0,0,43.443817,-77.44155,62.32,4.7775,9416,6.23E+03,"(180,78)",180,78,-1.95E+02,0,0,0.00E+00,0,1.92E-01,1.00E-03,4.834577,,4.834577,0,,180-78,19.53,180,78,180-78,195.3,10,4
10,27,8/14/2018,ON12,0,0,0,0,43.503,-79.353,47.65,5.492166667,1325,9.70E+03,"(58,94)",58,94,-1.07E+02,0,0,0.00E+00,0,1.92E-01,1.00E-03,4.823403,,4.823403,0,,58-94,10.6864,58,94,58-94,106.864,10,5
11,10,8/12/2013,ON12,43.5032,-79.336267,5.161833333,47.96666667,0,0,0,0,1382,9.71E+03,"(59,94)",59,94,-1.08E+02,0,0,0.00E+00,0,1.92E-01,1.00E-03,4.802938,,4.802938,0,,59-94,10.8293,59,94,59-94,108.293,10,1
12,20,4/9/2018,ON12,0,0,0,0,43.503483,-79.353783,63.025,3.22675,1325,9.70E+03,"(58,94)",58,94,-1.07E+02,0,0,0.00E+00,0,1.92E-01,1.00E-03,4.823403,,4.823403,0,,58-94,10.6864,58,94,58-94,106.864,10,6
13,1,4/4/2013,ON12,43.504083,-79.35405,3.8885,63.025,0,0,0,0,1325,9.70E+03,"(58,94)",58,94,-1.07E+02,0,0,0.00E+00,0,1.92E-01,1.00E-03,4.823403,,4.823403,0,,58-94,10.6864,58,94,58-94,106.864,10,1
14,2,4/4/2013,ON25,43.515867,-79.079033,4.10825,83.35,0,0,0,0,2409,8.58E+03,"(77,89)",77,89,-1.38E+02,0,0,0.00E+00,0,1.92E-01,1.00E-03,4.768969,,4.768969,0,,77-89,13.8518,77,89,77-89,138.518,10,1
15,11,8/12/2013,ON25,43.516,-79.08,5.1886,71.78,0,0,0,0,2409,8.58E+03,"(77,89)",77,89,-1.38E+02,0,0,0.00E+00,0,1.92E-01,1.00E-03,4.768969,,4.768969,0,,77-89,13.8518,77,89,77-89,138.518,10,1
16,19,4/9/2018,ON25,0,0,0,0,43.51655,-79.080083,81.625,3.63625,2409,8.58E+03,"(77,89)",77,89,-1.38E+02,0,0,0.00E+00,0,1.92E-01,1.00E-03,4.768969,,4.768969,0,,77-89,13.8518,77,89,77-89,138.518,10,6
17,28,8/14/2018,ON25,0,0,0,0,43.517253,-79.080518,61,5.534,2409,8.58E+03,"(77,89)",77,89,-1.38E+02,0,0,0.00E+00,0,1.92E-01,1.00E-03,4.768969,,4.768969,0,,77-89,13.8518,77,89,77-89,138.518,10,5
18,21,4/10/2018,ON33M,0,0,0,0,43.594518,-78.8019,51.83,3.6054,3623,8.84E+03,"(97,90)",97,90,-1.38E+02,0,0,0.00E+00,0,1.92E-01,1.00E-03,4.813006,,4.813006,0,,97-90,13.8647,97,90,97-90,138.647,10,4
19,31,8/14/2018,ON33M,0,0,0,0,43.59595,-78.8145,55.65555556,5.627888889,3563,8.83E+03,"(96,90)",96,90,-1.39E+02,0,0,0.00E+00,0,1.92E-01,1.00E-03,4.832044,,4.832044,0,,96-90,13.8729,96,90,96-90,138.729,10,5
20,3,4/4/2013,ON33M,43.5968,-78.798233,3.5,52.17,0,0,0,0,3684,8.84E+03,"(98,90)",98,90,-1.39E+02,0,0,0.00E+00,0,1.92E-01,1.00E-03,4.766515,,4.766515,0,,98-90,13.962,98,90,98-90,139.62,10,1
21,12,8/12/2013,ON33M,43.6,-78.802,4.644,47.25454545,0,0,0,0,3624,9.07E+03,"(97,91)",97,91,-1.36E+02,0,0,0.00E+00,0,1.92E-01,1.00E-03,4.749612,,4.749612,0,,97-91,13.6241,97,91,97-91,136.241,10,1
22,25,4/11/2018,ON60,0,0,0,0,43.577652,-77.195905,91.95,3.98475,10686,8.46E+03,"(194,88)",194,88,-1.54E+02,0,0,0.00E+00,0,1.92E-01,1.00E-03,4.81709,,4.81709,0,,194-88,15.3846,194,88,194-88,153.846,10,6
23,7,4/5/2013,ON60,43.5797,-77.199883,5.07775,93.5,0,0,0,0,10687,8.69E+03,"(194,89)",194,89,-1.43E+02,0,0,0.00E+00,0,1.92E-01,1.00E-03,4.978627,,4.978627,0,,194-89,14.3209,194,89,194-89,143.209,10,1
24,36,8/15/2018,ON60,0,0,0,0,43.579985,-77.199715,66.61666667,4.568333333,10687,8.69E+03,"(194,89)",194,89,-1.43E+02,0,0,0.00E+00,0,1.92E-01,1.00E-03,4.978627,,4.978627,0,,194-89,14.3209,194,89,194-89,143.209,10,5
25,15,8/12/2013,ON60,43.58,-77.2,4.593166667,68.58333333,0,0,0,0,10687,8.69E+03,"(194,89)",194,89,-1.43E+02,0,0,0.00E+00,0,1.92E-01,1.00E-03,4.978627,,4.978627,0,,194-89,14.3209,194,89,194-89,143.209,10,1
26,32,8/14/2018,ON41,0,0,0,0,43.716503,-78.027165,57.95,4.640333333,6512,9.79E+03,"(145,94)",145,94,-1.31E+02,0,0,0.00E+00,0,1.92E-01,1.00E-03,4.85221,,4.85221,0,,145-94,13.1193,145,94,145-94,131.193,10,5
27,4,4/4/2013,ON41,43.7166,-78.02755,4.16925,77.55,0,0,0,0,6512,9.79E+03,"(145,94)",145,94,-1.31E+02,0,0,0.00E+00,0,1.92E-01,1.00E-03,4.85221,,4.85221,0,,145-94,13.1193,145,94,145-94,131.193,10,1
28,13,8/12/2013,ON41,43.716633,-78.026833,5.788833333,58.01666667,0,0,0,0,6512,9.79E+03,"(145,94)",145,94,-1.31E+02,0,0,0.00E+00,0,1.92E-01,1.00E-03,4.85221,,4.85221,0,,145-94,13.1193,145,94,145-94,131.193,10,1
29,22,4/10/2018,ON41,0,0,0,0,43.717,-78.026583,77.275,3.59225,6512,9.79E+03,"(145,94)",145,94,-1.31E+02,0,0,0.00E+00,0,1.92E-01,1.00E-03,4.85221,,4.85221,0,,145-94,13.1193,145,94,145-94,131.193,10,6
30,16,8/12/2013,ON63,43.731183,-77.0155,3.6526,46.12,0,0,0,0,11594,1.11E+04,"-207,100",207,100,-8.94E+01,0,0,0.00E+00,0,1.92E-01,1.00E-03,5.161365,,5.161365,0,,207-100,8.9568,207,100,207-100,89.568,10,1
31,34,8/15/2018,ON63,0,0,0,0,43.731267,-77.017835,40.06666667,3.821,11594,1.11E+04,"-207,100",207,100,-8.94E+01,0,0,0.00E+00,0,1.92E-01,1.00E-03,5.161365,,5.161365,0,,207-100,8.9568,207,100,207-100,89.568,10,5
32,6,4/5/2013,ON63,43.731867,-77.018633,5.01425,52.475,0,0,0,0,11594,1.11E+04,"-207,100",207,100,-8.94E+01,0,0,0.00E+00,0,1.92E-01,1.00E-03,5.161365,,5.161365,0,,207-100,8.9568,207,100,207-100,89.568,10,1
33,24,4/11/2018,ON63,0,0,0,0,43.73185,-77.0176,51.325,3.82025,11594,1.11E+04,"-207,100",207,100,-8.94E+01,0,0,0.00E+00,0,1.92E-01,1.00E-03,5.161365,,5.161365,0,,207-100,8.9568,207,100,207-100,89.568,10,6
34,33,8/15/2018,ON49,0,0,0,0,43.77025,-77.43955,23.03333333,3.444666667,9125,1.13E+04,"-177,101",177,101,-5.10E+01,0,0,0.00E+00,0,1.92E-01,1.00E-03,5.190392,,5.190392,0,,177-101,5.1167,177,101,177-101,51.167,10,5
35,5,4/5/2013,ON49,43.771967,-77.4384,4.04825,28.15,0,0,0,0,9126,1.15E+04,"-177,102",177,102,-5.33E+01,0,0,0.00E+00,0,1.92E-01,1.00E-03,5.343503,,5.343503,0,,177-102,5.3521,177,102,177-102,53.521,10,1
36,14,8/12/2013,ON49,43.772217,-77.438,4.6544,22.74,0,0,0,0,9126,1.15E+04,"-177,102",177,102,-5.33E+01,0,0,0.00E+00,0,1.92E-01,1.00E-03,5.343503,,5.343503,0,,177-102,5.3521,177,102,177-102,53.521,10,1
37,23,4/10/2018,ON49,0,0,0,0,43.772217,-77.43795,26.45,3.98275,9126,1.15E+04,"-177,102",177,102,-5.33E+01,0,0,0.00E+00,0,1.92E-01,1.00E-03,5.343503,,5.343503,0,,177-102,5.3521,177,102,177-102,53.521,10,5
